
		ORDINARY TRAFFIC FILE FOR SENSOR_ID:25

 RDSN  DSN   SRC   DEST  FL  PL   TSTAMP      TSTAMP      PKT_TYPE         PAYLOAD
00099  0184  000A  0002  34  17  00047967  0046.655273  ORDINARY_PKT   00 02 00 63 00 19 |  63 00 00 00 00 00 00 00 00 00 00
00100  0185  000A  0002  40  23  00047990  0046.677734   MONITOR_PKT   01 02 00 64 00 19 |  7E 00 00 07 E6 00 00 00 00 00 00 64 00 00 06 A4 7E
00101  0186  000A  0002  34  17  00048010  0046.697266  ORDINARY_PKT   00 02 00 65 00 19 |  65 00 00 00 00 00 00 00 00 00 00
00102  0187  000A  0002  34  17  00048036  0046.722656  ORDINARY_PKT   00 02 00 66 00 19 |  66 00 00 00 00 00 00 00 00 00 00
00103  0188  000A  0002  34  17  00048054  0046.740234  ORDINARY_PKT   00 02 00 67 00 19 |  67 00 00 00 00 00 00 00 00 00 00
00104  0189  000A  0002  34  17  00048071  0046.756836  ORDINARY_PKT   00 02 00 68 00 19 |  68 00 00 00 00 00 00 00 00 00 00
00105  0190  000A  0002  34  17  00048086  0046.771484  ORDINARY_PKT   00 02 00 69 00 19 |  69 00 00 00 00 00 00 00 00 00 00
00106  0191  000A  0002  34  17  00048107  0046.791992  ORDINARY_PKT   00 02 00 6A 00 19 |  6A 00 00 00 00 00 00 00 00 00 00
00107  0192  000A  0002  34  17  00048130  0046.814453  ORDINARY_PKT   00 02 00 6B 00 19 |  6B 00 00 00 00 00 00 00 00 00 00
00108  0193  000A  0002  34  17  00048146  00046.83008  ORDINARY_PKT   00 02 00 6C 00 19 |  6C 00 00 00 00 00 00 00 00 00 00
00109  0194  000A  0002  34  17  00048171  0046.854492  ORDINARY_PKT   00 02 00 6D 00 19 |  6D 00 00 00 00 00 00 00 00 00 00
00110  0195  000A  0002  34  17  00048193  0046.875977  ORDINARY_PKT   00 02 00 6E 00 19 |  6E 00 00 00 00 00 00 00 00 00 00
00111  0196  000A  0002  34  17  00048209  000046.8916  ORDINARY_PKT   00 02 00 6F 00 19 |  6F 00 00 00 00 00 00 00 00 00 00
00112  0197  000A  0002  34  17  00048230  00046.91211  ORDINARY_PKT   00 02 00 70 00 19 |  70 00 00 00 00 00 00 00 00 00 00
00113  0198  000A  0002  34  17  00048252  0046.933594  ORDINARY_PKT   00 02 00 71 00 19 |  71 00 00 00 00 00 00 00 00 00 00
00114  0199  000A  0002  34  17  00048281  0046.961914  ORDINARY_PKT   00 02 00 72 00 19 |  72 00 00 00 00 00 00 00 00 00 00
00115  0200  000A  0002  34  17  00048294  00046.97461  ORDINARY_PKT   00 02 00 73 00 19 |  73 00 00 00 00 00 00 00 00 00 00
00116  0201  000A  0002  34  17  00048310  0046.990234  ORDINARY_PKT   00 02 00 74 00 19 |  74 00 00 00 00 00 00 00 00 00 00
00117  0202  000A  0002  34  17  00048338  00047.01758  ORDINARY_PKT   00 02 00 75 00 19 |  75 00 00 00 00 00 00 00 00 00 00
00118  0203  000A  0002  34  17  00048350  0047.029297  ORDINARY_PKT   00 02 00 76 00 19 |  76 00 00 00 00 00 00 00 00 00 00
00119  0204  000A  0002  34  17  00048372  00047.05078  ORDINARY_PKT   00 02 00 77 00 19 |  77 00 00 00 00 00 00 00 00 00 00
00120  0205  000A  0002  34  17  00048394  0047.072266  ORDINARY_PKT   00 02 00 78 00 19 |  78 00 00 00 00 00 00 00 00 00 00
00121  0206  000A  0002  34  17  00048417  0047.094727  ORDINARY_PKT   00 02 00 79 00 19 |  79 00 00 00 00 00 00 00 00 00 00
00122  0207  000A  0002  34  17  00048435  0047.112305  ORDINARY_PKT   00 02 00 7A 00 19 |  7A 00 00 00 00 00 00 00 00 00 00
00123  0208  000A  0002  34  17  00048459  0047.135742  ORDINARY_PKT   00 02 00 7B 00 19 |  7B 00 00 00 00 00 00 00 00 00 00
00124  0209  000A  0002  34  17  00048474  00047.15039  ORDINARY_PKT   00 02 00 7C 00 19 |  7C 00 00 00 00 00 00 00 00 00 00
00125  0210  000A  0002  34  17  00048497  00047.17285  ORDINARY_PKT   00 02 00 7D 00 19 |  7D 00 00 00 00 00 00 00 00 00 00
00126  0211  000A  0002  34  17  00048509  00047.18457  ORDINARY_PKT   00 02 00 7E 00 19 |  7E 00 00 00 00 00 00 00 00 00 00
00127  0212  000A  0002  34  17  00048533  0047.208008  ORDINARY_PKT   00 02 00 7F 00 19 |  7F 00 00 00 00 00 00 00 00 00 00
00128  0213  000A  0002  34  17  00048566  0047.240234  ORDINARY_PKT   00 02 00 80 00 19 |  80 00 00 00 00 00 00 00 00 00 00
00129  0214  000A  0002  34  17  00048576  00000047.25  ORDINARY_PKT   00 02 00 81 00 19 |  81 00 00 00 00 00 00 00 00 00 00
00130  0215  000A  0002  34  17  00048599  00047.27246  ORDINARY_PKT   00 02 00 82 00 19 |  82 00 00 00 00 00 00 00 00 00 00
00131  0216  000A  0002  34  17  00048617  00047.29004  ORDINARY_PKT   00 02 00 83 00 19 |  83 00 00 00 00 00 00 00 00 00 00
00132  0217  000A  0002  34  17  00048635  0047.307617  ORDINARY_PKT   00 02 00 84 00 19 |  84 00 00 00 00 00 00 00 00 00 00
00133  0218  000A  0002  34  17  00048652  00047.32422  ORDINARY_PKT   00 02 00 85 00 19 |  85 00 00 00 00 00 00 00 00 00 00
00134  0219  000A  0002  34  17  00048682  0047.353516  ORDINARY_PKT   00 02 00 86 00 19 |  86 00 00 00 00 00 00 00 00 00 00
00135  0221  000A  0002  34  17  00048706  0047.376953  ORDINARY_PKT   00 02 00 87 00 19 |  87 00 00 00 00 00 00 00 00 00 00
00136  0222  000A  0002  34  17  00048714  0047.384766  ORDINARY_PKT   00 02 00 88 00 19 |  88 00 00 00 00 00 00 00 00 00 00
00137  0223  000A  0002  34  17  00048738  0047.408203  ORDINARY_PKT   00 02 00 89 00 19 |  89 00 00 00 00 00 00 00 00 00 00
00138  0224  000A  0002  34  17  00048757  0047.426758  ORDINARY_PKT   00 02 00 8A 00 19 |  8A 00 00 00 00 00 00 00 00 00 00
00139  0225  000A  0002  34  17  00048769  0047.438477  ORDINARY_PKT   00 02 00 8B 00 19 |  8B 00 00 00 00 00 00 00 00 00 00
00140  0226  000A  0002  34  17  00048792  0047.460938  ORDINARY_PKT   00 02 00 8C 00 19 |  8C 00 00 00 00 00 00 00 00 00 00
00141  0227  000A  0002  34  17  00048816  0047.484375  ORDINARY_PKT   00 02 00 8D 00 19 |  8D 00 00 00 00 00 00 00 00 00 00
